,submission_fnames
baseline,CHTESSEL_URB_BASELINE_V2_1_CHTESSEL-U_AU-Pre_baseline_v2.nc
detailed,CHTESSEL_URB_DETAILED_V2_1_CHTESSEL-U_AU-Pre_detailed_v2.nc
