,submission_fnames
baseline,K-UCMv1-AU-Preston-b2_1_K-UCMv1-AU-Preston-b2_baseline_v1.nc
detailed,K-UCMv1-AU-Preston-d2_1_K-UCMv1-AU-Preston-d2_baseline_v1.nc
